Position Id,Total Successful Passes All,Total Unsuccessful Passes All,Total Successful Passes Excl Crosses Corners,Successful Passes Own Half,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Unsuccessful Passes Opposition Half,Successful Passes Defensive third,Unsuccessful Passes Defensive third,Successful Passes Middle third,Successful Passes Final third,Successful Short Passes,Successful Long Passes,Successful Dribbles,Successful Lay-Offs,Touches,Duels won,Duels lost,Aerial Duels won,Aerial Duels lost,Ground Duels won,Ground Duels lost,Tackles Won,Tackles Lost,Total Clearances,Interceptions,Recoveries,Total Fouls Conceded,Total Fouls Won,Saves Made,Turnovers,Dispossessed,Pass Forward,Pass Backward,Touches open play final third,Touches open play opp box,Touches open play opp six yards
6,26,7,24,7,2,17,2,1,0,14,9,24,0,3,0,45,8,7,2,2,6,5,1,0,0,0,5,2,2,0,0,2,4,11,20,3,0
6,13,5,12,2,2,10,1,0,1,5,7,11,1,0,1,28,1,7,0,3,1,4,0,0,1,0,3,2,1,0,0,0,4,4,16,2,0
6,20,7,20,4,2,16,1,3,1,4,13,16,4,3,0,39,9,8,0,1,9,7,3,0,0,1,7,3,3,0,0,1,5,4,21,2,0
6,18,9,18,1,0,17,7,0,0,12,6,18,0,1,1,36,3,6,1,1,2,5,1,0,0,0,0,2,0,0,0,2,4,10,22,1,0
6,24,8,22,5,1,17,4,2,0,13,7,19,3,4,0,45,8,10,1,3,7,7,0,0,0,1,5,3,3,0,0,2,4,11,28,7,0
6,30,9,29,12,1,17,5,3,0,17,9,28,1,2,1,50,3,4,0,1,3,3,0,1,0,1,6,0,0,0,0,2,5,14,25,4,0
6,19,10,19,3,0,16,8,1,0,10,8,17,2,0,0,36,2,4,1,1,1,3,1,0,0,0,7,2,0,0,0,0,6,4,19,2,1
6,18,8,16,4,4,12,2,2,0,12,2,16,0,2,2,40,4,4,2,0,2,4,0,0,2,0,0,2,0,0,0,0,4,12,26,8,2
6,18.75,7.5,18.75,3.75,0,15,7.5,0,0,9.375,9.375,18.75,0,0,5.625,39.375,7.5,7.5,3.75,1.875,3.75,5.625,0,0,0,0,1.875,5.625,3.75,0,0,0,11.25,3.75,24.375,5.625,0
6,25,7,24,8,0,16,7,1,0,20,3,22,2,0,1,40,4,3,0,0,4,3,1,0,0,0,7,0,3,0,0,1,9,7,13,1,0
6,10,9,10,4,1,6,6,1,0,6,3,10,0,1,0,32,3,6,1,2,2,4,0,0,3,0,3,2,1,0,0,1,6,4,13,3,1
6,18,6,17,7,2,10,3,3,1,7,7,17,0,1,2,41,4,11,2,2,2,9,0,0,1,1,6,1,1,0,0,4,2,11,19,0,1
6,16,5,15,2,0,13,3,0,0,7,8,15,0,0,1,34,3,8,0,0,3,8,1,0,0,0,2,2,2,0,0,2,2,8,21,3,0
6,23,10,23,6,2,17,8,0,0,14,9,23,0,1,3,46,8,11,1,7,7,4,4,0,1,0,5,2,2,0,0,0,8,15,21,1,0
6,13,8,12,3,0,9,6,0,0,6,6,12,0,1,1,33,3,7,1,1,2,6,0,0,0,0,3,0,1,0,0,3,4,6,21,4,0
6,17,4,17,4,1,13,3,1,0,4,12,17,0,0,1,31,1,6,0,1,1,5,0,0,0,2,2,2,1,0,0,1,5,6,21,4,1
6,14,9,14,1,3,13,5,0,0,7,7,14,0,1,0,36,6,10,2,4,4,6,1,0,0,1,7,1,2,0,0,2,8,3,19,4,0
6,14,9,14,7,0,7,6,3,0,5,6,14,0,1,0,33,5,10,1,4,4,6,1,0,0,0,5,1,2,0,0,2,5,8,13,3,0
6,19,9,17,4,0,13,6,1,0,8,8,16,1,0,0,39,4,7,1,2,3,5,1,1,3,2,7,4,1,0,0,0,4,10,22,0,0
6,22,4,21,0,1,21,2,0,0,12,9,20,1,2,3,31,4,1,1,1,3,0,0,0,0,0,6,0,1,0,0,0,5,4,15,2,0
